,checking_account,duration,credit_history,purpose,credit_amount,savings_account,present_employment_since,installment_rate,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age,installment_plans,housing,credits,job,number_people_maitenance,telephone,foreign,risk
13,<0,24,critical,car_new,1199,<100,>=7,4,male_single,None,4,car_other,60,None,own,2,unskilled,1,none,yes,bad
14,<0,15,existing_credits_paid,car_new,1403,<100,1<=x<4,2,female_divorced/separated/married,None,4,car_other,28,None,rent,1,skilled,1,none,yes,good
15,<0,24,existing_credits_paid,radio/tv,1282,100<=x<500,1<=x<4,4,female_divorced/separated/married,None,2,car_other,32,None,own,1,unskilled,1,none,yes,bad
16,None,24,critical,radio/tv,2424,unknown,>=7,4,male_single,None,4,savings_insurance,53,None,own,2,skilled,1,none,yes,good
17,<0,30,no_credits_taken,business,8072,unknown,<1,2,male_single,None,3,car_other,25,bank,own,3,skilled,1,none,yes,good
18,0<=x<200,24,existing_credits_paid,car_used,12579,<100,>=7,4,female_divorced/separated/married,None,2,unknown,44,None,for_free,1,management,1,yes,yes,bad
19,None,24,existing_credits_paid,radio/tv,3430,500<=x<1000,>=7,3,male_single,None,2,car_other,31,None,own,1,skilled,2,yes,yes,good
20,None,9,critical,car_new,2134,<100,1<=x<4,4,male_single,None,4,car_other,48,None,own,3,skilled,1,yes,yes,good
21,<0,6,existing_credits_paid,radio/tv,2647,500<=x<1000,1<=x<4,2,male_single,None,3,real_estate,44,None,rent,1,skilled,2,none,yes,good
22,<0,10,critical,car_new,2241,<100,<1,1,male_single,None,3,real_estate,48,None,rent,2,unskilled,2,none,no,good
23,0<=x<200,12,critical,car_used,1804,100<=x<500,<1,3,male_single,None,4,savings_insurance,44,None,own,1,skilled,1,none,yes,good
24,None,10,critical,furniture/equipment,2069,unknown,1<=x<4,2,male_married/widowed,None,1,car_other,26,None,own,2,skilled,1,none,no,good
25,<0,6,existing_credits_paid,furniture/equipment,1374,<100,1<=x<4,1,male_single,None,2,real_estate,36,bank,own,1,unskilled,1,yes,yes,good
26,None,6,no_credits_taken,radio/tv,426,<100,>=7,4,male_married/widowed,None,4,car_other,39,None,own,1,unskilled,1,none,yes,good
27,>=200,12,all_credits_paid_bank,radio/tv,409,>=1000,1<=x<4,3,female_divorced/separated/married,None,3,real_estate,42,None,rent,2,skilled,1,none,yes,good
28,0<=x<200,7,existing_credits_paid,radio/tv,2415,<100,1<=x<4,3,male_single,guarantor,2,real_estate,34,None,own,1,skilled,1,none,yes,good
29,<0,60,delay_in_past,business,6836,<100,>=7,3,male_single,None,4,unknown,63,None,own,2,skilled,1,yes,yes,bad
30,0<=x<200,18,existing_credits_paid,business,1913,>=1000,<1,3,male_married/widowed,None,3,real_estate,36,bank,own,1,skilled,1,yes,yes,good
31,<0,24,existing_credits_paid,furniture/equipment,4020,<100,1<=x<4,2,male_single,None,2,car_other,27,stores,own,1,skilled,1,none,yes,good
32,0<=x<200,18,existing_credits_paid,car_new,5866,100<=x<500,1<=x<4,2,male_single,None,2,car_other,30,None,own,2,skilled,1,yes,yes,good
33,None,12,critical,business,1264,unknown,>=7,4,male_single,None,4,unknown,57,None,rent,1,unskilled,1,none,yes,good
34,>=200,12,existing_credits_paid,furniture/equipment,1474,<100,<1,4,female_divorced/separated/married,None,1,savings_insurance,33,bank,own,1,management,1,yes,yes,good
35,0<=x<200,45,critical,radio/tv,4746,<100,<1,4,male_single,None,2,savings_insurance,25,None,own,2,unskilled,1,none,yes,bad
36,None,48,critical,education,6110,<100,1<=x<4,1,male_single,None,3,unknown,31,bank,for_free,1,skilled,1,yes,yes,good
37,>=200,18,existing_credits_paid,radio/tv,2100,<100,1<=x<4,4,male_single,co-applicant,2,real_estate,37,stores,own,1,skilled,1,none,yes,bad
38,>=200,10,existing_credits_paid,domestic_appliances,1225,<100,1<=x<4,2,male_single,None,2,car_other,37,None,own,1,skilled,1,yes,yes,good
39,0<=x<200,9,existing_credits_paid,radio/tv,458,<100,1<=x<4,4,male_single,None,3,real_estate,24,None,own,1,skilled,1,none,yes,good
40,None,30,existing_credits_paid,radio/tv,2333,500<=x<1000,>=7,4,male_single,None,2,car_other,30,bank,own,1,management,1,none,yes,good
41,0<=x<200,12,existing_credits_paid,radio/tv,1158,500<=x<1000,1<=x<4,3,male_divorced/separated,None,1,car_other,26,None,own,1,skilled,1,yes,yes,good
42,0<=x<200,18,delay_in_past,repairs,6204,<100,1<=x<4,2,male_single,None,4,real_estate,44,None,own,1,unskilled,2,yes,yes,good
43,<0,30,critical,car_used,6187,100<=x<500,4<=x<7,1,male_married/widowed,None,4,car_other,24,None,rent,2,skilled,1,none,yes,good
44,<0,48,critical,car_used,6143,<100,>=7,4,female_divorced/separated/married,None,4,unknown,58,stores,for_free,2,unskilled,1,none,yes,bad
45,None,11,critical,car_new,1393,<100,<1,4,female_divorced/separated/married,None,4,car_other,35,None,own,2,management,1,none,yes,good
46,None,36,existing_credits_paid,radio/tv,2299,500<=x<1000,>=7,4,male_single,None,4,car_other,39,None,own,1,skilled,1,none,yes,good
47,<0,6,existing_credits_paid,car_used,1352,500<=x<1000,unemployed,1,female_divorced/separated/married,None,2,savings_insurance,23,None,rent,1,unemployed,1,yes,yes,good
48,None,11,critical,car_new,7228,<100,1<=x<4,1,male_single,None,4,savings_insurance,39,None,own,2,unskilled,1,none,yes,good
49,None,12,existing_credits_paid,radio/tv,2073,100<=x<500,1<=x<4,4,female_divorced/separated/married,co-applicant,2,real_estate,28,None,own,1,skilled,1,none,yes,good
50,0<=x<200,24,delay_in_past,furniture/equipment,2333,unknown,<1,4,male_single,None,2,savings_insurance,29,bank,own,1,unskilled,1,none,yes,good
51,0<=x<200,27,delay_in_past,car_used,5965,<100,>=7,1,male_single,None,2,car_other,30,None,own,2,management,1,yes,yes,good
52,None,12,existing_credits_paid,radio/tv,1262,<100,1<=x<4,3,male_single,None,2,car_other,25,None,own,1,skilled,1,none,yes,good
53,None,18,existing_credits_paid,car_used,3378,unknown,1<=x<4,2,male_single,None,1,savings_insurance,31,None,own,1,skilled,1,yes,yes,good
54,0<=x<200,36,delay_in_past,car_new,2225,<100,>=7,4,male_single,None,4,unknown,57,bank,for_free,2,skilled,1,yes,yes,bad
55,None,6,all_credits_paid_bank,car_new,783,unknown,1<=x<4,1,male_single,guarantor,2,real_estate,26,stores,own,1,unskilled,2,none,yes,good
56,0<=x<200,12,existing_credits_paid,radio/tv,6468,unknown,unemployed,2,male_single,None,1,unknown,52,None,own,1,management,1,yes,yes,bad
57,None,36,critical,radio/tv,9566,<100,1<=x<4,2,female_divorced/separated/married,None,2,car_other,31,stores,own,2,skilled,1,none,yes,good
58,>=200,18,existing_credits_paid,car_new,1961,<100,>=7,3,female_divorced/separated/married,None,2,car_other,23,None,own,1,management,1,none,yes,good
59,<0,36,critical,furniture/equipment,6229,<100,<1,4,female_divorced/separated/married,co-applicant,4,unknown,23,None,rent,2,unskilled,1,yes,yes,bad
60,0<=x<200,9,existing_credits_paid,business,1391,<100,1<=x<4,2,male_married/widowed,None,1,real_estate,27,bank,own,1,skilled,1,yes,yes,good
61,0<=x<200,15,critical,radio/tv,1537,unknown,>=7,4,male_single,guarantor,4,real_estate,50,None,own,2,skilled,1,yes,yes,good
62,0<=x<200,36,no_credits_taken,business,1953,<100,>=7,4,male_single,None,4,unknown,61,None,for_free,1,management,1,yes,yes,bad
63,0<=x<200,48,no_credits_taken,business,14421,<100,1<=x<4,2,male_single,None,2,car_other,25,None,own,1,skilled,1,yes,yes,bad
64,None,24,existing_credits_paid,radio/tv,3181,<100,<1,4,female_divorced/separated/married,None,4,savings_insurance,26,None,own,1,skilled,1,yes,yes,good
65,None,27,existing_credits_paid,repairs,5190,unknown,>=7,4,male_single,None,4,savings_insurance,48,None,own,4,skilled,2,yes,yes,good
66,None,12,existing_credits_paid,radio/tv,2171,<100,<1,2,female_divorced/separated/married,None,2,car_other,29,bank,own,1,skilled,1,none,yes,good
67,0<=x<200,12,existing_credits_paid,car_new,1007,>=1000,1<=x<4,4,male_married/widowed,None,1,real_estate,22,None,own,1,skilled,1,none,yes,good
68,None,36,existing_credits_paid,education,1819,<100,1<=x<4,4,male_single,None,4,unknown,37,stores,for_free,1,skilled,1,yes,yes,bad
69,None,36,existing_credits_paid,radio/tv,2394,unknown,1<=x<4,4,female_divorced/separated/married,None,4,car_other,25,None,own,1,skilled,1,none,yes,good
70,None,36,existing_credits_paid,car_used,8133,<100,1<=x<4,1,female_divorced/separated/married,None,2,savings_insurance,30,bank,own,1,skilled,1,none,yes,good
71,None,7,critical,radio/tv,730,unknown,>=7,4,male_single,None,2,savings_insurance,46,None,rent,2,unskilled,1,yes,yes,good
72,<0,8,critical,others,1164,<100,>=7,3,male_single,None,4,unknown,51,bank,for_free,2,management,2,yes,yes,good
73,0<=x<200,42,critical,business,5954,<100,4<=x<7,2,female_divorced/separated/married,None,1,real_estate,41,bank,own,2,unskilled,1,none,yes,good
74,<0,36,existing_credits_paid,education,1977,unknown,>=7,4,male_single,None,4,unknown,40,None,own,1,management,1,yes,yes,bad
75,<0,12,critical,car_used,1526,<100,>=7,4,male_single,None,4,unknown,66,None,for_free,2,management,1,none,yes,good
76,<0,42,existing_credits_paid,radio/tv,3965,<100,<1,4,male_single,None,3,car_other,34,None,own,1,skilled,1,none,yes,bad
77,0<=x<200,11,delay_in_past,radio/tv,4771,<100,4<=x<7,2,male_single,None,4,savings_insurance,51,None,own,1,skilled,1,none,yes,good
78,None,54,no_credits_taken,car_used,9436,unknown,1<=x<4,2,male_single,None,2,savings_insurance,39,None,own,1,unskilled,2,none,yes,good
79,0<=x<200,30,existing_credits_paid,furniture/equipment,3832,<100,<1,2,male_married/widowed,None,1,savings_insurance,22,None,own,1,skilled,1,none,yes,good
80,None,24,existing_credits_paid,radio/tv,5943,unknown,<1,1,female_divorced/separated/married,None,1,car_other,44,None,own,2,skilled,1,yes,yes,bad
81,None,15,existing_credits_paid,radio/tv,1213,500<=x<1000,>=7,4,male_single,None,3,savings_insurance,47,stores,own,1,skilled,1,yes,yes,good
82,None,18,existing_credits_paid,business,1568,100<=x<500,1<=x<4,3,female_divorced/separated/married,None,4,savings_insurance,24,None,rent,1,unskilled,1,none,yes,good
83,<0,24,existing_credits_paid,others,1755,<100,>=7,4,female_divorced/separated/married,guarantor,4,real_estate,58,None,own,1,unskilled,1,yes,yes,good
84,<0,10,existing_credits_paid,radio/tv,2315,<100,>=7,3,male_single,None,4,real_estate,52,None,own,1,unskilled,1,none,yes,good
85,None,12,critical,business,1412,<100,1<=x<4,4,female_divorced/separated/married,guarantor,2,real_estate,29,None,own,2,management,1,yes,yes,good
86,0<=x<200,18,critical,furniture/equipment,1295,<100,<1,4,female_divorced/separated/married,None,1,savings_insurance,27,None,own,2,skilled,1,none,yes,good
87,0<=x<200,36,existing_credits_paid,education,12612,100<=x<500,1<=x<4,1,male_single,None,4,unknown,47,None,for_free,1,skilled,2,yes,yes,bad
88,<0,18,existing_credits_paid,car_new,2249,100<=x<500,4<=x<7,4,male_single,None,3,car_other,30,None,own,1,management,2,yes,yes,good
89,<0,12,no_credits_taken,repairs,1108,<100,4<=x<7,4,male_single,None,3,real_estate,28,None,own,2,skilled,1,none,yes,bad
90,None,12,critical,radio/tv,618,<100,>=7,4,male_single,None,4,real_estate,56,None,own,1,skilled,1,none,yes,good
91,<0,12,critical,car_used,1409,<100,>=7,4,male_single,None,3,real_estate,54,None,own,1,skilled,1,none,yes,good
92,None,12,critical,radio/tv,797,unknown,>=7,4,female_divorced/separated/married,None,3,savings_insurance,33,bank,own,1,unskilled,2,none,yes,bad
93,>=200,24,critical,furniture/equipment,3617,unknown,>=7,4,male_single,co-applicant,4,unknown,20,None,rent,2,skilled,1,none,yes,good
94,0<=x<200,12,existing_credits_paid,car_new,1318,>=1000,>=7,4,male_single,None,4,real_estate,54,None,own,1,skilled,1,yes,yes,good
95,0<=x<200,54,no_credits_taken,business,15945,<100,<1,3,male_single,None,4,unknown,58,None,rent,1,skilled,1,yes,yes,bad
96,None,12,critical,education,2012,unknown,4<=x<7,4,female_divorced/separated/married,None,2,car_other,61,None,own,1,skilled,1,none,yes,good
97,0<=x<200,18,existing_credits_paid,business,2622,100<=x<500,1<=x<4,4,male_single,None,4,car_other,34,None,own,1,skilled,1,none,yes,good
98,0<=x<200,36,critical,radio/tv,2337,<100,>=7,4,male_single,None,4,real_estate,36,None,own,1,skilled,1,none,yes,good
99,0<=x<200,20,delay_in_past,car_used,7057,unknown,4<=x<7,3,male_single,None,4,savings_insurance,36,bank,rent,2,management,2,yes,yes,good
100,None,24,existing_credits_paid,car_new,1469,100<=x<500,>=7,4,male_married/widowed,None,4,real_estate,41,None,rent,1,unskilled,1,none,yes,good
101,0<=x<200,36,existing_credits_paid,radio/tv,2323,<100,4<=x<7,4,male_single,None,4,car_other,24,None,rent,1,skilled,1,none,yes,good
102,None,6,delay_in_past,radio/tv,932,<100,1<=x<4,3,female_divorced/separated/married,None,2,real_estate,24,None,own,1,skilled,1,none,yes,good
103,0<=x<200,9,critical,furniture/equipment,1919,<100,4<=x<7,4,male_single,None,3,car_other,35,None,rent,1,skilled,1,yes,yes,good
104,None,12,existing_credits_paid,car_used,2445,unknown,<1,2,male_married/widowed,None,4,car_other,26,None,rent,1,skilled,1,yes,yes,good
105,0<=x<200,24,critical,others,11938,<100,1<=x<4,2,male_single,co-applicant,3,car_other,39,None,own,2,management,2,yes,yes,bad
106,None,18,all_credits_paid_bank,car_new,6458,<100,>=7,2,male_single,None,4,unknown,39,bank,own,2,management,2,yes,yes,bad
107,0<=x<200,12,existing_credits_paid,car_new,6078,<100,4<=x<7,2,male_single,None,2,car_other,32,None,own,1,skilled,1,none,yes,good
108,<0,24,existing_credits_paid,furniture/equipment,7721,unknown,<1,1,female_divorced/separated/married,None,2,savings_insurance,30,None,own,1,skilled,1,yes,no,good
109,0<=x<200,14,existing_credits_paid,business,1410,500<=x<1000,>=7,1,male_married/widowed,None,2,real_estate,35,None,own,1,skilled,1,yes,yes,good
110,0<=x<200,6,delay_in_past,business,1449,100<=x<500,>=7,1,male_divorced/separated,None,2,car_other,31,bank,own,2,skilled,2,none,yes,good
111,>=200,15,existing_credits_paid,education,392,<100,<1,4,female_divorced/separated/married,None,4,savings_insurance,23,None,rent,1,skilled,1,yes,yes,good
112,0<=x<200,18,existing_credits_paid,car_new,6260,<100,4<=x<7,3,male_single,None,3,real_estate,28,None,rent,1,unskilled,1,none,yes,good
113,None,36,critical,car_new,7855,<100,1<=x<4,4,female_divorced/separated/married,None,2,real_estate,25,stores,own,2,skilled,1,yes,yes,bad
114,<0,12,existing_credits_paid,radio/tv,1680,500<=x<1000,>=7,3,male_married/widowed,None,1,real_estate,35,None,own,1,skilled,1,none,yes,good
115,None,48,critical,radio/tv,3578,unknown,>=7,4,male_single,None,1,real_estate,47,None,own,1,skilled,1,yes,yes,good
116,<0,42,existing_credits_paid,radio/tv,7174,unknown,4<=x<7,4,female_divorced/separated/married,None,3,car_other,30,None,own,1,management,1,yes,yes,bad
117,<0,10,critical,furniture/equipment,2132,unknown,<1,2,female_divorced/separated/married,co-applicant,3,real_estate,27,None,rent,2,skilled,1,none,no,good
118,<0,33,critical,furniture/equipment,4281,500<=x<1000,1<=x<4,1,female_divorced/separated/married,None,4,car_other,23,None,own,2,skilled,1,none,yes,bad
119,0<=x<200,12,critical,car_new,2366,500<=x<1000,4<=x<7,3,male_divorced/separated,None,3,car_other,36,None,own,1,management,1,yes,yes,good
120,<0,21,existing_credits_paid,radio/tv,1835,<100,1<=x<4,3,female_divorced/separated/married,None,2,real_estate,25,None,own,2,skilled,1,yes,yes,bad
121,None,24,critical,car_used,3868,<100,>=7,4,female_divorced/separated/married,None,2,car_other,41,None,rent,2,management,1,yes,yes,good
122,None,12,existing_credits_paid,furniture/equipment,1768,<100,1<=x<4,3,male_single,None,2,real_estate,24,None,rent,1,unskilled,1,none,yes,good
123,>=200,10,critical,car_new,781,<100,>=7,4,male_single,None,4,unknown,63,None,for_free,2,skilled,1,yes,yes,good
124,0<=x<200,18,existing_credits_paid,furniture/equipment,1924,unknown,<1,4,female_divorced/separated/married,None,3,real_estate,27,None,rent,1,skilled,1,none,yes,bad
125,<0,12,critical,car_new,2121,<100,1<=x<4,4,male_single,None,2,savings_insurance,30,None,own,2,skilled,1,none,yes,good
126,<0,12,existing_credits_paid,radio/tv,701,<100,1<=x<4,4,male_married/widowed,None,2,real_estate,40,None,own,1,unskilled,1,none,yes,good
127,0<=x<200,12,existing_credits_paid,repairs,639,<100,1<=x<4,4,male_single,None,2,car_other,30,None,own,1,skilled,1,none,yes,bad
128,0<=x<200,12,critical,car_used,1860,<100,unemployed,4,male_single,None,2,car_other,34,None,own,2,management,1,yes,yes,good
129,<0,12,critical,car_new,3499,<100,1<=x<4,3,female_divorced/separated/married,co-applicant,2,real_estate,29,None,own,2,skilled,1,none,yes,bad
130,0<=x<200,48,existing_credits_paid,car_new,8487,unknown,4<=x<7,1,female_divorced/separated/married,None,2,car_other,24,None,own,1,skilled,1,none,yes,good
131,<0,36,delay_in_past,education,6887,<100,1<=x<4,4,male_single,None,3,savings_insurance,29,stores,own,1,skilled,1,yes,yes,bad
132,None,15,existing_credits_paid,furniture/equipment,2708,<100,<1,2,male_single,None,3,savings_insurance,27,bank,own,2,unskilled,1,none,yes,good
133,None,18,existing_credits_paid,furniture/equipment,1984,<100,1<=x<4,4,male_single,None,4,unknown,47,bank,for_free,2,skilled,1,none,yes,good
134,None,60,existing_credits_paid,radio/tv,10144,100<=x<500,4<=x<7,2,female_divorced/separated/married,None,4,real_estate,21,None,own,1,skilled,1,yes,yes,good
135,None,12,critical,radio/tv,1240,unknown,>=7,4,female_divorced/separated/married,None,2,real_estate,38,None,own,2,skilled,1,yes,yes,good
136,None,27,delay_in_past,car_used,8613,>=1000,1<=x<4,2,male_single,None,2,car_other,27,None,own,2,skilled,1,none,yes,good
137,0<=x<200,12,existing_credits_paid,radio/tv,766,500<=x<1000,1<=x<4,4,male_single,None,3,real_estate,66,None,own,1,unskilled,1,none,yes,bad
138,0<=x<200,15,critical,radio/tv,2728,unknown,4<=x<7,4,male_single,guarantor,2,real_estate,35,bank,own,3,skilled,1,yes,yes,good
139,>=200,12,existing_credits_paid,radio/tv,1881,<100,1<=x<4,2,female_divorced/separated/married,None,2,car_other,44,None,rent,1,unskilled,1,yes,yes,good
140,>=200,6,existing_credits_paid,car_new,709,>=1000,<1,2,male_married/widowed,None,2,real_estate,27,None,own,1,unemployed,1,none,no,good
141,0<=x<200,36,existing_credits_paid,radio/tv,4795,<100,<1,4,female_divorced/separated/married,None,1,unknown,30,None,own,1,management,1,yes,yes,good
142,<0,27,existing_credits_paid,radio/tv,3416,<100,1<=x<4,3,male_single,None,2,car_other,27,None,own,1,management,1,none,yes,good
143,<0,18,existing_credits_paid,furniture/equipment,2462,<100,1<=x<4,2,male_single,None,2,car_other,22,None,own,1,skilled,1,none,yes,bad
144,None,21,critical,furniture/equipment,2288,<100,<1,4,female_divorced/separated/married,None,4,savings_insurance,23,None,own,1,skilled,1,yes,yes,good
145,0<=x<200,48,all_credits_paid_bank,business,3566,100<=x<500,4<=x<7,4,male_single,None,2,car_other,30,None,own,1,skilled,1,none,yes,good
146,<0,6,critical,car_new,860,<100,>=7,1,female_divorced/separated/married,None,4,unknown,39,None,own,2,skilled,1,yes,yes,good
147,None,12,critical,car_new,682,100<=x<500,4<=x<7,4,female_divorced/separated/married,None,3,car_other,51,None,own,2,skilled,1,yes,yes,good
148,<0,36,critical,furniture/equipment,5371,<100,1<=x<4,3,male_single,guarantor,2,savings_insurance,28,None,own,2,skilled,1,none,yes,good
149,None,18,critical,radio/tv,1582,>=1000,>=7,4,male_single,None,4,car_other,46,None,own,2,skilled,1,none,yes,good
150,None,6,existing_credits_paid,radio/tv,1346,100<=x<500,>=7,2,male_single,None,4,unknown,42,bank,for_free,1,skilled,2,yes,yes,good
151,None,10,existing_credits_paid,radio/tv,1924,<100,1<=x<4,1,male_single,None,4,savings_insurance,38,None,own,1,skilled,1,yes,no,good
152,>=200,36,existing_credits_paid,radio/tv,5848,<100,1<=x<4,4,male_single,None,1,car_other,24,None,own,1,skilled,1,none,yes,good
153,0<=x<200,24,critical,car_used,7758,>=1000,>=7,2,female_divorced/separated/married,None,4,unknown,29,None,rent,1,skilled,1,none,yes,good
154,0<=x<200,24,delay_in_past,business,6967,100<=x<500,4<=x<7,4,male_single,None,4,car_other,36,None,rent,1,management,1,yes,yes,good
155,<0,12,existing_credits_paid,furniture/equipment,1282,<100,1<=x<4,2,female_divorced/separated/married,None,4,car_other,20,None,rent,1,skilled,1,none,yes,bad
156,<0,9,critical,repairs,1288,100<=x<500,>=7,3,male_single,guarantor,4,real_estate,48,None,own,2,skilled,2,none,no,good
157,<0,12,all_credits_paid_bank,retraining,339,<100,>=7,4,male_married/widowed,None,1,car_other,45,bank,own,1,unskilled,1,none,yes,good
158,0<=x<200,24,existing_credits_paid,car_new,3512,100<=x<500,4<=x<7,2,male_single,None,3,car_other,38,bank,own,2,skilled,1,yes,yes,good
159,None,6,critical,radio/tv,1898,unknown,1<=x<4,1,male_single,None,2,real_estate,34,None,own,2,unskilled,2,none,yes,good
160,None,24,critical,radio/tv,2872,100<=x<500,>=7,3,male_single,None,4,real_estate,36,None,own,1,skilled,2,yes,yes,good
161,None,18,critical,car_new,1055,<100,<1,4,female_divorced/separated/married,None,1,savings_insurance,30,None,own,2,skilled,1,none,yes,good
162,None,15,existing_credits_paid,domestic_appliances,1262,500<=x<1000,4<=x<7,4,male_single,None,3,savings_insurance,36,None,own,2,skilled,1,yes,yes,good
163,0<=x<200,10,existing_credits_paid,car_new,7308,<100,unemployed,2,male_single,None,4,unknown,70,bank,for_free,1,management,1,yes,yes,good
164,None,36,existing_credits_paid,car_new,909,500<=x<1000,>=7,4,male_single,None,4,savings_insurance,36,None,own,1,skilled,1,none,yes,good
165,None,6,existing_credits_paid,furniture/equipment,2978,500<=x<1000,1<=x<4,1,male_single,None,2,car_other,32,None,own,1,skilled,1,yes,yes,good
166,<0,18,existing_credits_paid,furniture/equipment,1131,<100,unemployed,4,female_divorced/separated/married,None,2,car_other,33,None,own,1,skilled,1,none,yes,bad
167,0<=x<200,11,existing_credits_paid,furniture/equipment,1577,>=1000,<1,4,female_divorced/separated/married,None,1,real_estate,20,None,own,1,skilled,1,none,yes,good
168,None,24,existing_credits_paid,furniture/equipment,3972,<100,4<=x<7,2,female_divorced/separated/married,None,4,savings_insurance,25,None,rent,1,skilled,1,yes,yes,good
169,0<=x<200,24,critical,business,1935,<100,>=7,4,male_divorced/separated,None,4,real_estate,31,None,own,2,skilled,1,yes,yes,bad
170,<0,15,no_credits_taken,car_new,950,<100,>=7,4,male_single,None,3,car_other,33,None,rent,2,skilled,2,none,yes,bad
171,None,12,existing_credits_paid,furniture/equipment,763,<100,1<=x<4,4,female_divorced/separated/married,None,1,real_estate,26,None,own,1,skilled,1,yes,yes,good
172,0<=x<200,24,delay_in_past,furniture/equipment,2064,<100,unemployed,3,female_divorced/separated/married,None,2,savings_insurance,34,None,own,1,management,1,yes,yes,bad
173,0<=x<200,8,existing_credits_paid,radio/tv,1414,<100,1<=x<4,4,male_single,guarantor,2,real_estate,33,None,own,1,skilled,1,none,no,good
174,<0,21,delay_in_past,education,3414,<100,<1,2,male_single,None,1,savings_insurance,26,None,own,2,skilled,1,none,yes,bad
175,None,30,all_credits_paid_bank,car_used,7485,unknown,unemployed,4,female_divorced/separated/married,None,1,real_estate,53,bank,own,1,management,1,yes,yes,bad
176,<0,12,existing_credits_paid,furniture/equipment,2577,<100,1<=x<4,2,male_divorced/separated,None,1,car_other,42,None,own,1,skilled,1,none,yes,good
177,<0,6,critical,radio/tv,338,500<=x<1000,>=7,4,male_single,None,4,car_other,52,None,own,2,skilled,1,none,yes,good
178,None,12,existing_credits_paid,radio/tv,1963,<100,4<=x<7,4,male_single,None,2,car_other,31,None,rent,2,management,2,yes,yes,good
179,<0,21,critical,car_new,571,<100,>=7,4,male_single,None,4,real_estate,65,None,own,2,skilled,1,none,yes,good
180,None,36,delay_in_past,business,9572,<100,<1,1,male_divorced/separated,None,1,car_other,28,None,own,2,skilled,1,none,yes,bad
181,0<=x<200,36,delay_in_past,business,4455,<100,1<=x<4,2,male_divorced/separated,None,2,real_estate,30,stores,own,2,management,1,yes,yes,bad
182,<0,21,all_credits_paid_bank,car_new,1647,unknown,1<=x<4,4,male_single,None,2,savings_insurance,40,None,own,2,unskilled,2,none,yes,bad
183,None,24,critical,furniture/equipment,3777,>=1000,1<=x<4,4,male_single,None,4,real_estate,50,None,own,1,skilled,1,yes,yes,good
184,0<=x<200,18,critical,car_new,884,<100,>=7,4,male_single,None,4,car_other,36,bank,own,1,skilled,2,yes,yes,bad
185,None,15,critical,radio/tv,1360,<100,1<=x<4,4,male_single,None,2,savings_insurance,31,None,own,2,skilled,1,none,yes,good
186,0<=x<200,9,all_credits_paid_bank,car_used,5129,<100,>=7,2,female_divorced/separated/married,None,4,unknown,74,bank,for_free,1,management,2,yes,yes,bad
187,0<=x<200,16,critical,car_new,1175,<100,unemployed,2,male_single,None,3,car_other,68,None,for_free,3,unemployed,1,yes,yes,good
188,<0,12,existing_credits_paid,radio/tv,674,100<=x<500,4<=x<7,4,male_married/widowed,None,1,savings_insurance,20,None,own,1,skilled,1,none,yes,bad
189,0<=x<200,18,no_credits_taken,furniture/equipment,3244,<100,1<=x<4,1,female_divorced/separated/married,None,4,car_other,33,bank,own,2,skilled,1,yes,yes,good
